\lbrack	[	0x5b
\leftarrow	←	0x2190
\uparrow	↑	0x2191
\rightarrow	→	0x2192
\to	→	0x2192
\downarrow	↓	0x2193
\leftrightarrow	↔	0x2194
\updownarrow	↕	0x2195
\nwarrow	↖	0x2196
\nearrow	↗	0x2197
\searrow	↘	0x2198
\swarrow	↙	0x2199
\nleftarrow	↚	0x219a
\nrightarrow	↛	0x219b
\leftwavearrow	↜	0x219c
\rightwavearrow	↝	0x219d
\twoheadleftarrow	↞	0x219e
\twoheaduparrow	↟	0x219f
\twoheadrightarrow	↠	0x21a0
\twoheaddownarrow	↡	0x21a1
\leftarrowtail	↢	0x21a2
\rightarrowtail	↣	0x21a3
\mapsfrom	↤	0x21a4
\MapsUp	↥	0x21a5
\mapsto	↦	0x21a6
\MapsDown	↧	0x21a7
\updownarrowbar	↨	0x21a8
\hookleftarrow	↩	0x21a9
\hookrightarrow	↪	0x21aa
\looparrowleft	↫	0x21ab
\looparrowright	↬	0x21ac
\leftrightsquigarrow	↭	0x21ad
\nleftrightarrow	↮	0x21ae
\lightning	↯	0x21af
\Lsh	↰	0x21b0
\Rsh	↱	0x21b1
\dlsh	↲	0x21b2
\drsh	↳	0x21b3
\linefeed	↴	0x21b4
\carriagereturn	↵	0x21b5
\curvearrowleft	↶	0x21b6
\curvearrowright	↷	0x21b7
\barovernorthwestarrow	↸	0x21b8
\barleftarrowrightarrowba	↹	0x21b9
\circlearrowleft	↺	0x21ba
\circlearrowright	↻	0x21bb
\leftharpoonup	↼	0x21bc
\leftharpoondown	↽	0x21bd
\upharpoonright	↾	0x21be
\upharpoonleft	↿	0x21bf
\rightharpoonup	⇀	0x21c0
\rightharpoondown	⇁	0x21c1
\downharpoonright	⇂	0x21c2
\downharpoonleft	⇃	0x21c3
\rightleftarrows	⇄	0x21c4
\updownarrows	⇅	0x21c5
\leftrightarrows	⇆	0x21c6
\leftleftarrows	⇇	0x21c7
\upuparrows	⇈	0x21c8
\rightrightarrows	⇉	0x21c9
\downdownarrows	⇊	0x21ca
\leftrightharpoons	⇋	0x21cb
\rightleftharpoons	⇌	0x21cc
\nLeftarrow	⇍	0x21cd
\nLeftrightarrow	⇎	0x21ce
\nRightarrow	⇏	0x21cf
\Leftarrow	⇐	0x21d0
\Uparrow	⇑	0x21d1
\Rightarrow	⇒	0x21d2
\Downarrow	⇓	0x21d3
\Leftrightarrow	⇔	0x21d4
\Updownarrow	⇕	0x21d5
\Nwarrow	⇖	0x21d6
\Nearrow	⇗	0x21d7
\Searrow	⇘	0x21d8
\Swarrow	⇙	0x21d9
\Lleftarrow	⇚	0x21da
\Rrightarrow	⇛	0x21db
\leftsquigarrow	⇜	0x21dc
\rightsquigarrow	⇝	0x21dd
\nHuparrow	⇞	0x21de
\nHdownarrow	⇟	0x21df
\dashleftarrow	⇠	0x21e0
\updasharrow	⇡	0x21e1
\dashrightarrow	⇢	0x21e2
\downdasharrow	⇣	0x21e3
\LeftArrowBar	⇤	0x21e4
\RightArrowBar	⇥	0x21e5
\leftwhitearrow	⇦	0x21e6
\upwhitearrow	⇧	0x21e7
\rightwhitearrow	⇨	0x21e8
\downwhitearrow	⇩	0x21e9
