\lbrack	[	0x5b
\Lbrbrak	〘	0x3018
\Rbrbrak	〙	0x3019
\lgroup	⟮	0x27ee
\rgroup	⟯	0x27ef
\UUparrow	⟰	0x27f0
\DDownarrow	⟱	0x27f1
\acwgapcirclearrow	⟲	0x27f2
\cwgapcirclearrow	⟳	0x27f3
\rightarrowonoplus	⟴	0x27f4
\longleftarrow	⟵	0x27f5
\longrightarrow	⟶	0x27f6
\longleftrightarrow	⟷	0x27f7
\Longleftarrow	⟸	0x27f8
\Longrightarrow	⟹	0x27f9
\Longleftrightarrow	⟺	0x27fa
\longmapsfrom	⟻	0x27fb
\longmapsto	⟼	0x27fc
\Longmapsfrom	⟽	0x27fd
\Longmapsto	⟾	0x27fe
\longrightsquigarrow	⟿	0x27ff
\psur	⤀	0x2900
\nVtwoheadrightarrow	⤁	0x2901
\nvLeftarrow	⤂	0x2902
\nvRightarrow	⤃	0x2903
\nvLeftrightarrow	⤄	0x2904
\twoheadmapsto	⤅	0x2905
\Mapsfrom	⤆	0x2906
\Mapsto	⤇	0x2907
\downarrowbarred	⤈	0x2908
\uparrowbarred	⤉	0x2909
\Uuparrow	⤊	0x290a
\Ddownarrow	⤋	0x290b
\leftbkarrow	⤌	0x290c
\rightbkarrow	⤍	0x290d
\leftdbkarrow	⤎	0x290e
\dbkarow	⤏	0x290f
\drbkarow	⤐	0x2910
\rightdotarrow	⤑	0x2911
\UpArrowBar	⤒	0x2912
\DownArrowBar	⤓	0x2913
\pinj	⤔	0x2914
\finj	⤕	0x2915
\bij	⤖	0x2916
\nvtwoheadrightarrowtail	⤗	0x2917
\nVtwoheadrightarrowtail	⤘	0x2918
\lefttail	⤙	0x2919
\righttail	⤚	0x291a
\leftdbltail	⤛	0x291b
\rightdbltail	⤜	0x291c
\diamondleftarrow	⤝	0x291d
\rightarrowdiamond	⤞	0x291e
\diamondleftarrowbar	⤟	0x291f
\barrightarrowdiamond	⤠	0x2920
\nwsearrow	⤡	0x2921
\neswarrow	⤢	0x2922
\hknwarrow	⤣	0x2923
\hknearrow	⤤	0x2924
\hksearow	⤥	0x2925
\hkswarow	⤦	0x2926
\tona	⤧	0x2927
\toea	⤨	0x2928
\tosa	⤩	0x2929
\towa	⤪	0x292a
\rdiagovfdiag	⤫	0x292b
\fdiagovrdiag	⤬	0x292c
\seovnearrow	⤭	0x292d
\neovsearrow	⤮	0x292e
\fdiagovnearrow	⤯	0x292f
\rdiagovsearrow	⤰	0x2930
\neovnwarrow	⤱	0x2931
\nwovnearrow	⤲	0x2932
\leadsto	⤳	0x2933
\uprightcurvearrow	⤴	0x2934
\downrightcurvedarrow	⤵	0x2935
\leftdowncurvedarrow	⤶	0x2936
\rightdowncurvedarrow	⤷	0x2937
\cwrightarcarrow	⤸	0x2938
\acwleftarcarrow	⤹	0x2939
\acwoverarcarrow	⤺	0x293a
\acwunderarcarrow	⤻	0x293b
\curvearrowrightminus	⤼	0x293c
\curvearrowleftplus	⤽	0x293d
\cwundercurvearrow	⤾	0x293e
\ccwundercurvearrow	⤿	0x293f
\acwcirclearrow	⥀	0x2940
\cwcirclearrow	⥁	0x2941
\rightarrowshortleftarrow	⥂	0x2942
\leftarrowshortrightarrow	⥃	0x2943
\shortrightarrowleftarrow	⥄	0x2944
\rightarrowplus	⥅	0x2945
\leftarrowplus	⥆	0x2946
\rightarrowx	⥇	0x2947
\leftrightarrowcircle	⥈	0x2948
\twoheaduparrowcircle	⥉	0x2949
\leftrightharpoon	⥊	0x294a
\rightleftharpoon	⥋	0x294b
\updownharpoonrightleft	⥌	0x294c
\updownharpoonleftright	⥍	0x294d
\leftrightharpoonup	⥎	0x294e
\rightupdownharpoon	⥏	0x294f
\leftrightharpoondown	⥐	0x2950
\leftupdownharpoon	⥑	0x2951
\LeftVectorBar	⥒	0x2952
\RightVectorBar	⥓	0x2953
\RightUpVectorBar	⥔	0x2954
\RightDownVectorBar	⥕	0x2955
\DownLeftVectorBar	⥖	0x2956
\DownRightVectorBar	⥗	0x2957
\LeftUpVectorBar	⥘	0x2958
\LeftDownVectorBar	⥙	0x2959
\LeftTeeVector	⥚	0x295a
\RightTeeVector	⥛	0x295b
\RightUpTeeVector	⥜	0x295c
\RightDownTeeVector	⥝	0x295d
\DownLeftTeeVector	⥞	0x295e
\DownRightTeeVector	⥟	0x295f
\LeftUpTeeVector	⥠	0x2960
\LeftDownTeeVector	⥡	0x2961
\leftleftharpoons	⥢	0x2962
\upupharpoons	⥣	0x2963
\rightrightharpoons	⥤	0x2964
\downdownharpoons	⥥	0x2965
\leftrightharpoonsup	⥦	0x2966
\leftrightharpoonsdown	⥧	0x2967
\rightleftharpoonsup	⥨	0x2968
\rightleftharpoonsdown	⥩	0x2969
\leftbarharpoon	⥪	0x296a
\barleftharpoon	⥫	0x296b
\rightbarharpoon	⥬	0x296c
\barrightharpoon	⥭	0x296d
\updownharpoons	⥮	0x296e
\downupharpoons	⥯	0x296f
\rightimply	⥰	0x2970
\equalrightarrow	⥱	0x2971
\similarrightarrow	⥲	0x2972
\leftarrowsimilar	⥳	0x2973
\rightarrowsimilar	⥴	0x2974
\rightarrowapprox	⥵	0x2975
\ltlarr	⥶	0x2976
\leftarrowless	⥷	0x2977
\gtrarr	⥸	0x2978
\subrarr	⥹	0x2979
\leftarrowsubset	⥺	0x297a
\suplarr	⥻	0x297b
\strictfi	⥼	0x297c
\strictif	⥽	0x297d
\upfishtail	⥾	0x297e
\downfishtail	⥿	0x297f
\VERT	⦀	0x2980
\spot	⦁	0x2981
\typecolon	⦂	0x2982
\lBrace	⦃	0x2983
\rBrace	⦄	0x2984
\Lparen	⦅	0x2985
\Rparen	⦆	0x2986
\limg	⦇	0x2987
\rimg	⦈	0x2988
\lblot	⦉	0x2989
\rblot	⦊	0x298a
\lbrackubar	⦋	0x298b
\rbrackubar	⦌	0x298c
\lbrackultick	⦍	0x298d
\rbracklrtick	⦎	0x298e
\lbracklltick	⦏	0x298f
\rbrackurtick	⦐	0x2990
\langledot	⦑	0x2991
\rangledot	⦒	0x2992
\lparenless	⦓	0x2993
\rparengtr	⦔	0x2994
\Lparengtr	⦕	0x2995
\Rparenless	⦖	0x2996
\lblkbrbrak	⦗	0x2997
\rblkbrbrak	⦘	0x2998
\fourvdots	⦙	0x2999
\vzigzag	⦚	0x299a
\measuredangleleft	⦛	0x299b
\rightanglesqr	⦜	0x299c
\rightanglemdot	⦝	0x299d
\angles	⦞	0x299e
\angdnr	⦟	0x299f
\gtlpar	⦠	0x29a0
\sphericalangleup	⦡	0x29a1
\turnangle	⦢	0x29a2
\revangle	⦣	0x29a3
\angleubar	⦤	0x29a4
\revangleubar	⦥	0x29a5
\wideangledown	⦦	0x29a6
\wideangleup	⦧	0x29a7
\measanglerutone	⦨	0x29a8
\measanglelutonw	⦩	0x29a9
\measanglerdtose	⦪	0x29aa
\measangleldtosw	⦫	0x29ab
\measangleurtone	⦬	0x29ac
\measangleultonw	⦭	0x29ad
\measangledrtose	⦮	0x29ae
\measangledltosw	⦯	0x29af
\revemptyset	⦰	0x29b0
\emptysetobar	⦱	0x29b1
\emptysetocirc	⦲	0x29b2
\emptysetoarr	⦳	0x29b3
\emptysetoarrl	⦴	0x29b4
\circlehbar	⦵	0x29b5
\circledvert	⦶	0x29b6
\circledparallel	⦷	0x29b7
\circledbslash	⦸	0x29b8
\operp	⦹	0x29b9
\obot	⦺	0x29ba
\olcross	⦻	0x29bb
\odotslashdot	⦼	0x29bc
\uparrowoncircle	⦽	0x29bd
\circledwhitebullet	⦾	0x29be
\circledbullet	⦿	0x29bf
\circledless	⧀	0x29c0
\circledgtr	⧁	0x29c1
\cirscir	⧂	0x29c2
\cirE	⧃	0x29c3
\boxslash	⧄	0x29c4
\boxbslash	⧅	0x29c5
\boxast	⧆	0x29c6
\boxcircle	⧇	0x29c7
\boxbox	⧈	0x29c8
\boxonbox	⧉	0x29c9
\triangleodot	⧊	0x29ca
\triangleubar	⧋	0x29cb
\triangles	⧌	0x29cc
\triangleserifs	⧍	0x29cd
\rtriltri	⧎	0x29ce
\LeftTriangleBar	⧏	0x29cf
\RightTriangleBar	⧐	0x29d0
\lfbowtie	⧑	0x29d1
\rfbowtie	⧒	0x29d2
\fbowtie	⧓	0x29d3
\lftimes	⧔	0x29d4
\rftimes	⧕	0x29d5
\hourglass	⧖	0x29d6
\blackhourglass	⧗	0x29d7
\lvzigzag	⧘	0x29d8
\rvzigzag	⧙	0x29d9
\Lvzigzag	⧚	0x29da
\Rvzigzag	⧛	0x29db
\iinfin	⧜	0x29dc
\tieinfty	⧝	0x29dd
\nvinfty	⧞	0x29de
\multimapboth	⧟	0x29df
\laplac	⧠	0x29e0
\lrtriangleeq	⧡	0x29e1
\shuffle	⧢	0x29e2
\eparsl	⧣	0x29e3
\smeparsl	⧤	0x29e4
\eqvparsl	⧥	0x29e5
\gleichstark	⧦	0x29e6
\thermod	⧧	0x29e7
\downtriangleleftblack	⧨	0x29e8
\downtrianglerightblack	⧩	0x29e9
\blackdiamonddownarrow	⧪	0x29ea
\blacklozenge	⧫	0x29eb
\circledownarrow	⧬	0x29ec
\blackcircledownarrow	⧭	0x29ed
\errbarsquare	⧮	0x29ee
\errbarblacksquare	⧯	0x29ef
\errbardiamond	⧰	0x29f0
\errbarblackdiamond	⧱	0x29f1
\errbarcircle	⧲	0x29f2
\errbarblackcircle	⧳	0x29f3
\ruledelayed	⧴	0x29f4
\setminus	⧵	0x29f5
\dsol	⧶	0x29f6
\rsolbar	⧷	0x29f7
\xsol	⧸	0x29f8
\zhide	⧹	0x29f9
\doubleplus	⧺	0x29fa
\tripleplus	⧻	0x29fb
\lcurvyangle	⧼	0x29fc
\rcurvyangle	⧽	0x29fd
\tplus	⧾	0x29fe
\tminus	⧿	0x29ff
\bigodot	⨀	0x2a00
\bigoplus	⨁	0x2a01
\bigotimes	⨂	0x2a02
\bigcupdot	⨃	0x2a03
\biguplus	⨄	0x2a04
\bigsqcap	⨅	0x2a05
\bigsqcup	⨆	0x2a06
\conjquant	⨇	0x2a07
\disjquant	⨈	0x2a08
\varprod	⨉	0x2a09
\modtwosum	⨊	0x2a0a
\sumint	⨋	0x2a0b
\iiiint	⨌	0x2a0c
\intbar	⨍	0x2a0d
\intBar	⨎	0x2a0e
\fint	⨏	0x2a0f
\cirfnint	⨐	0x2a10
\awint	⨑	0x2a11
\rppolint	⨒	0x2a12
\scpolint	⨓	0x2a13
\npolint	⨔	0x2a14
\pointint	⨕	0x2a15
\sqint	⨖	0x2a16
\intlarhk	⨗	0x2a17
\intx	⨘	0x2a18
\intcap	⨙	0x2a19
\intcup	⨚	0x2a1a
\upint	⨛	0x2a1b
\lowint	⨜	0x2a1c
\Join	⨝	0x2a1d
\bigtriangleleft	⨞	0x2a1e
\zcmp	⨟	0x2a1f
\zpipe	⨠	0x2a20
\zproject	⨡	0x2a21
\ringplus	⨢	0x2a22
\plushat	⨣	0x2a23
\simplus	⨤	0x2a24
\plusdot	⨥	0x2a25
\plussim	⨦	0x2a26
\plussubtwo	⨧	0x2a27
\plustrif	⨨	0x2a28
\commaminus	⨩	0x2a29
\minusdot	⨪	0x2a2a
\minusfdots	⨫	0x2a2b
\minusrdots	⨬	0x2a2c
\opluslhrim	⨭	0x2a2d
\oplusrhrim	⨮	0x2a2e
\vectimes	⨯	0x2a2f
\dottimes	⨰	0x2a30
\timesbar	⨱	0x2a31
\btimes	⨲	0x2a32
\smashtimes	⨳	0x2a33
\otimeslhrim	⨴	0x2a34
\otimesrhrim	⨵	0x2a35
\otimeshat	⨶	0x2a36
\Otimes	⨷	0x2a37
\odiv	⨸	0x2a38
\triangleplus	⨹	0x2a39
\triangleminus	⨺	0x2a3a
\triangletimes	⨻	0x2a3b
\intprod	⨼	0x2a3c
\intprodr	⨽	0x2a3d
\fcmp	⨾	0x2a3e
\amalg	⨿	0x2a3f
\capdot	⩀	0x2a40
\uminus	⩁	0x2a41
\barcup	⩂	0x2a42
\barcap	⩃	0x2a43
\capwedge	⩄	0x2a44
\cupvee	⩅	0x2a45
\cupovercap	⩆	0x2a46
\capovercup	⩇	0x2a47
\cupbarcap	⩈	0x2a48
\capbarcup	⩉	0x2a49
\twocups	⩊	0x2a4a
\twocaps	⩋	0x2a4b
\closedvarcup	⩌	0x2a4c
\closedvarcap	⩍	0x2a4d
\Sqcap	⩎	0x2a4e
\Sqcup	⩏	0x2a4f
\closedvarcupsmashprod	⩐	0x2a50
\wedgeodot	⩑	0x2a51
\veeodot	⩒	0x2a52
\Wedge	⩓	0x2a53
\Vee	⩔	0x2a54
\wedgeonwedge	⩕	0x2a55
\veeonvee	⩖	0x2a56
\bigslopedvee	⩗	0x2a57
\bigslopedwedge	⩘	0x2a58
\veeonwedge	⩙	0x2a59
\wedgemidvert	⩚	0x2a5a
\veemidvert	⩛	0x2a5b
\midbarwedge	⩜	0x2a5c
\midbarvee	⩝	0x2a5d
\doublebarwedge	⩞	0x2a5e
\wedgebar	⩟	0x2a5f
\wedgedoublebar	⩠	0x2a60
\varveebar	⩡	0x2a61
\doublebarvee	⩢	0x2a62
\veedoublebar	⩣	0x2a63
\dsub	⩤	0x2a64
\rsub	⩥	0x2a65
\eqdot	⩦	0x2a66
\dotequiv	⩧	0x2a67
\equivVert	⩨	0x2a68
\equivVvert	⩩	0x2a69
\dotsim	⩪	0x2a6a
\simrdots	⩫	0x2a6b
\simminussim	⩬	0x2a6c
\congdot	⩭	0x2a6d
\asteq	⩮	0x2a6e
\hatapprox	⩯	0x2a6f
\approxeqq	⩰	0x2a70
\eqqplus	⩱	0x2a71
\pluseqq	⩲	0x2a72
\eqqsim	⩳	0x2a73
\Coloneqq	⩴	0x2a74
\Equal	⩵	0x2a75
\Same	⩶	0x2a76
\ddotseq	⩷	0x2a77
\equivDD	⩸	0x2a78
\ltcir	⩹	0x2a79
\gtcir	⩺	0x2a7a
\ltquest	⩻	0x2a7b
\gtquest	⩼	0x2a7c
\leqslant	⩽	0x2a7d
\geqslant	⩾	0x2a7e
\lesdot	⩿	0x2a7f
\gesdot	⪀	0x2a80
\lesdoto	⪁	0x2a81
\gesdoto	⪂	0x2a82
\lesdotor	⪃	0x2a83
\gesdotol	⪄	0x2a84
\lessapprox	⪅	0x2a85
\gtrapprox	⪆	0x2a86
\lneq	⪇	0x2a87
\gneq	⪈	0x2a88
\lnapprox	⪉	0x2a89
\gnapprox	⪊	0x2a8a
\lesseqqgtr	⪋	0x2a8b
\gtreqqless	⪌	0x2a8c
\lsime	⪍	0x2a8d
\gsime	⪎	0x2a8e
\lsimg	⪏	0x2a8f
\gsiml	⪐	0x2a90
\lgE	⪑	0x2a91
\glE	⪒	0x2a92
\lesges	⪓	0x2a93
\gesles	⪔	0x2a94
\eqslantless	⪕	0x2a95
\eqslantgtr	⪖	0x2a96
\elsdot	⪗	0x2a97
\egsdot	⪘	0x2a98
\eqqless	⪙	0x2a99
\eqqgtr	⪚	0x2a9a
\eqqslantless	⪛	0x2a9b
\eqqslantgtr	⪜	0x2a9c
\simless	⪝	0x2a9d
\simgtr	⪞	0x2a9e
\simlE	⪟	0x2a9f
\simgE	⪠	0x2aa0
\NestedLessLess	⪡	0x2aa1
\NestedGreaterGreater	⪢	0x2aa2
\partialmeetcontraction	⪣	0x2aa3
\glj	⪤	0x2aa4
\gla	⪥	0x2aa5
\leftslice	⪦	0x2aa6
\rightslice	⪧	0x2aa7
\lescc	⪨	0x2aa8
\gescc	⪩	0x2aa9
\smt	⪪	0x2aaa
\lat	⪫	0x2aab
\smte	⪬	0x2aac
\late	⪭	0x2aad
\bumpeqq	⪮	0x2aae
\preceq	⪯	0x2aaf
\succeq	⪰	0x2ab0
\precneq	⪱	0x2ab1
\succneq	⪲	0x2ab2
\preceqq	⪳	0x2ab3
\succeqq	⪴	0x2ab4
\precneqq	⪵	0x2ab5
\succneqq	⪶	0x2ab6
\precapprox	⪷	0x2ab7
\succapprox	⪸	0x2ab8
\precnapprox	⪹	0x2ab9
\succnapprox	⪺	0x2aba
\llcurly	⪻	0x2abb
\ggcurly	⪼	0x2abc
\subsetdot	⪽	0x2abd
\supsetdot	⪾	0x2abe
\subsetplus	⪿	0x2abf
\supsetplus	⫀	0x2ac0
\submult	⫁	0x2ac1
\supmult	⫂	0x2ac2
\subedot	⫃	0x2ac3
\supedot	⫄	0x2ac4
\subseteqq	⫅	0x2ac5
\supseteqq	⫆	0x2ac6
\subsim	⫇	0x2ac7
\supsim	⫈	0x2ac8
\subsetapprox	⫉	0x2ac9
\supsetapprox	⫊	0x2aca
\subsetneqq	⫋	0x2acb
\supsetneqq	⫌	0x2acc
\lsqhook	⫍	0x2acd
\rsqhook	⫎	0x2ace
\csub	⫏	0x2acf
\csup	⫐	0x2ad0
\csube	⫑	0x2ad1
\csupe	⫒	0x2ad2
\subsup	⫓	0x2ad3
\supsub	⫔	0x2ad4
\subsub	⫕	0x2ad5
\supsup	⫖	0x2ad6
\suphsub	⫗	0x2ad7
\supdsub	⫘	0x2ad8
\forkv	⫙	0x2ad9
\topfork	⫚	0x2ada
\mlcp	⫛	0x2adb
\forks	⫝̸	0x2adc
\forksnot	⫝	0x2add
\shortlefttack	⫞	0x2ade
\shortdowntack	⫟	0x2adf
\shortuptack	⫠	0x2ae0
\perps	⫡	0x2ae1
\vDdash	⫢	0x2ae2
\dashV	⫣	0x2ae3
\Dashv	⫤	0x2ae4
\DashV	⫥	0x2ae5
\varVdash	⫦	0x2ae6
\Barv	⫧	0x2ae7
\vBar	⫨	0x2ae8
\vBarv	⫩	0x2ae9
\Top	⫪	0x2aea
\Bot	⫫	0x2aeb
\Not	⫬	0x2aec
\bNot	⫭	0x2aed
\revnmid	⫮	0x2aee
\cirmid	⫯	0x2aef
\midcir	⫰	0x2af0
\topcir	⫱	0x2af1
\nhpar	⫲	0x2af2
\parsim	⫳	0x2af3
\interleave	⫴	0x2af4
\nhVvert	⫵	0x2af5
\threedotcolon	⫶	0x2af6
\lllnest	⫷	0x2af7
\gggnest	⫸	0x2af8
\leqqslant	⫹	0x2af9
\geqqslant	⫺	0x2afa
\trslash	⫻	0x2afb
\biginterleave	⫼	0x2afc
\sslash	⫽	0x2afd
\talloblong	⫾	0x2afe
\bigtalloblong	⫿	0x2aff
R?	⬑	0x2b11
\squaretopblack	⬒	0x2b12
\squarebotblack	⬓	0x2b13
\squareurblack	⬔	0x2b14
\squarellblack	⬕	0x2b15
\diamondleftblack	⬖	0x2b16
\diamondrightblack	⬗	0x2b17
\diamondtopblack	⬘	0x2b18
\diamondbotblack	⬙	0x2b19
\dottedsquare	⬚	0x2b1a
\vysmblksquare	⬝	0x2b1d
\vysmwhtsquare	⬞	0x2b1e
\pentagonblack	⬟	0x2b1f
\pentagon	⬠	0x2b20
\varhexagon	⬡	0x2b21
\varhexagonblack	⬢	0x2b22
\hexagonblack	⬣	0x2b23
\lgblkcircle	⬤	0x2b24
\mdblkdiamond	⬥	0x2b25
\mdwhtdiamond	⬦	0x2b26
\mdblklozenge	⬧	0x2b27
\mdwhtlozenge	⬨	0x2b28
\smblkdiamond	⬩	0x2b29
\smblklozenge	⬪	0x2b2a
\smwhtlozenge	⬫	0x2b2b
\blkhorzoval	⬬	0x2b2c
\whthorzoval	⬭	0x2b2d
\blkvertoval	⬮	0x2b2e
\whtvertoval	⬯	0x2b2f
\circleonleftarrow	⬰	0x2b30
\leftthreearrows	⬱	0x2b31
\leftarrowonoplus	⬲	0x2b32
\longleftsquigarrow	⬳	0x2b33
\nvtwoheadleftarrow	⬴	0x2b34
\nVtwoheadleftarrow	⬵	0x2b35
\twoheadmapsfrom	⬶	0x2b36
\twoheadleftdbkarrow	⬷	0x2b37
\leftdotarrow	⬸	0x2b38
\nvleftarrowtail	⬹	0x2b39
\nVleftarrowtail	⬺	0x2b3a
\twoheadleftarrowtail	⬻	0x2b3b
\nvtwoheadleftarrowtail	⬼	0x2b3c
\nVtwoheadleftarrowtail	⬽	0x2b3d
\leftarrowx	⬾	0x2b3e
\leftcurvedarrow	⬿	0x2b3f
\equalleftarrow	⭀	0x2b40
\bsimilarleftarrow	⭁	0x2b41
\leftarrowbackapprox	⭂	0x2b42
\rightarrowgtr	⭃	0x2b43
\rightarrowsupset	⭄	0x2b44
\LLeftarrow	⭅	0x2b45
\RRightarrow	⭆	0x2b46
\bsimilarrightarrow	⭇	0x2b47
\rightarrowbackapprox	⭈	0x2b48
\similarleftarrow	⭉	0x2b49
\leftarrowapprox	⭊	0x2b4a
\leftarrowbsimilar	⭋	0x2b4b
\rightarrowbsimilar	⭌	0x2b4c
\medwhitestar	⭐	0x2b50
\medblackstar	⭑	0x2b51
\smwhitestar	⭒	0x2b52
\rightpentagonblack	⭓	0x2b53
\rightpentagon	⭔	0x2b54
\postalmark	〒	0x3012
\hzigzag	〰	0x3030
\mathbf{A}	𝐀	0x1d400
\mathbf{B}	𝐁	0x1d401
\mathbf{C}	𝐂	0x1d402
\mathbf{D}	𝐃	0x1d403
\mathbf{E}	𝐄	0x1d404
\mathbf{F}	𝐅	0x1d405
\mathbf{G}	𝐆	0x1d406
\mathbf{H}	𝐇	0x1d407
\mathbf{I}	𝐈	0x1d408
\mathbf{J}	𝐉	0x1d409
\mathbf{K}	𝐊	0x1d40a
\mathbf{L}	𝐋	0x1d40b
\mathbf{M}	𝐌	0x1d40c
\mathbf{N}	𝐍	0x1d40d
\mathbf{O}	𝐎	0x1d40e
\mathbf{P}	𝐏	0x1d40f
\mathbf{Q}	𝐐	0x1d410
\mathbf{R}	𝐑	0x1d411
\mathbf{S}	𝐒	0x1d412
\mathbf{T}	𝐓	0x1d413
\mathbf{U}	𝐔	0x1d414
\mathbf{V}	𝐕	0x1d415
\mathbf{W}	𝐖	0x1d416
\mathbf{X}	𝐗	0x1d417
\mathbf{Y}	𝐘	0x1d418
\mathbf{Z}	𝐙	0x1d419
\mathbf{a}	𝐚	0x1d41a
\mathbf{b}	𝐛	0x1d41b
\mathbf{c}	𝐜	0x1d41c
\mathbf{d}	𝐝	0x1d41d
\mathbf{e}	𝐞	0x1d41e
\mathbf{f}	𝐟	0x1d41f
\mathbf{g}	𝐠	0x1d420
\mathbf{h}	𝐡	0x1d421
\mathbf{i}	𝐢	0x1d422
\mathbf{j}	𝐣	0x1d423
\mathbf{k}	𝐤	0x1d424
\mathbf{l}	𝐥	0x1d425
\mathbf{m}	𝐦	0x1d426
\mathbf{n}	𝐧	0x1d427
\mathbf{o}	𝐨	0x1d428
\mathbf{p}	𝐩	0x1d429
\mathbf{q}	𝐪	0x1d42a
\mathbf{r}	𝐫	0x1d42b
\mathbf{s}	𝐬	0x1d42c
\mathbf{t}	𝐭	0x1d42d
\mathbf{u}	𝐮	0x1d42e
\mathbf{v}	𝐯	0x1d42f
\mathbf{w}	𝐰	0x1d430
\mathbf{x}	𝐱	0x1d431
\mathbf{y}	𝐲	0x1d432
\mathbf{z}	𝐳	0x1d433
\mathbfit{A}	𝑨	0x1d468
\mathbfit{B}	𝑩	0x1d469
\mathbfit{C}	𝑪	0x1d46a
\mathbfit{D}	𝑫	0x1d46b
\mathbfit{E}	𝑬	0x1d46c
\mathbfit{F}	𝑭	0x1d46d
\mathbfit{G}	𝑮	0x1d46e
\mathbfit{H}	𝑯	0x1d46f
\mathbfit{I}	𝑰	0x1d470
\mathbfit{J}	𝑱	0x1d471
\mathbfit{K}	𝑲	0x1d472
\mathbfit{L}	𝑳	0x1d473
\mathbfit{M}	𝑴	0x1d474
\mathbfit{N}	𝑵	0x1d475
\mathbfit{O}	𝑶	0x1d476
\mathbfit{P}	𝑷	0x1d477
\mathbfit{Q}	𝑸	0x1d478
\mathbfit{R}	𝑹	0x1d479
\mathbfit{S}	𝑺	0x1d47a
\mathbfit{T}	𝑻	0x1d47b
\mathbfit{U}	𝑼	0x1d47c
\mathbfit{V}	𝑽	0x1d47d
\mathbfit{W}	𝑾	0x1d47e
\mathbfit{X}	𝑿	0x1d47f
\mathbfit{Y}	𝒀	0x1d480
\mathbfit{Z}	𝒁	0x1d481
\mathbfit{a}	𝒂	0x1d482
\mathbfit{b}	𝒃	0x1d483
\mathbfit{c}	𝒄	0x1d484
\mathbfit{d}	𝒅	0x1d485
\mathbfit{e}	𝒆	0x1d486
\mathbfit{f}	𝒇	0x1d487
\mathbfit{g}	𝒈	0x1d488
\mathbfit{h}	𝒉	0x1d489
\mathbfit{i}	𝒊	0x1d48a
\mathbfit{j}	𝒋	0x1d48b
\mathbfit{k}	𝒌	0x1d48c
\mathbfit{l}	𝒍	0x1d48d
\mathbfit{m}	𝒎	0x1d48e
\mathbfit{n}	𝒏	0x1d48f
\mathbfit{o}	𝒐	0x1d490
\mathbfit{p}	𝒑	0x1d491
\mathbfit{q}	𝒒	0x1d492
\mathbfit{r}	𝒓	0x1d493
\mathbfit{s}	𝒔	0x1d494
\mathbfit{t}	𝒕	0x1d495
\mathbfit{u}	𝒖	0x1d496
\mathbfit{v}	𝒗	0x1d497
\mathbfit{w}	𝒘	0x1d498
\mathbfit{x}	𝒙	0x1d499
\mathbfit{y}	𝒚	0x1d49a
\mathbfit{z}	𝒛	0x1d49b
\mathcal{A}	𝒜	0x1d49c
\mathcal{C}	𝒞	0x1d49e
\mathcal{D}	𝒟	0x1d49f
\mathcal{G}	𝒢	0x1d4a2
\mathcal{J}	𝒥	0x1d4a5
\mathcal{K}	𝒦	0x1d4a6
\mathcal{N}	𝒩	0x1d4a9
\mathcal{O}	𝒪	0x1d4aa
\mathcal{P}	𝒫	0x1d4ab
\mathcal{Q}	𝒬	0x1d4ac
\mathcal{S}	𝒮	0x1d4ae
\mathcal{T}	𝒯	0x1d4af
\mathcal{U}	𝒰	0x1d4b0
\mathcal{V}	𝒱	0x1d4b1
\mathcal{W}	𝒲	0x1d4b2
\mathcal{X}	𝒳	0x1d4b3
\mathcal{Y}	𝒴	0x1d4b4
\mathcal{Z}	𝒵	0x1d4b5
\mathcal{a}	𝒶	0x1d4b6
\mathcal{b}	𝒷	0x1d4b7
\mathcal{c}	𝒸	0x1d4b8
\mathcal{d}	𝒹	0x1d4b9
\mathcal{f}	𝒻	0x1d4bb
\mathcal{h}	𝒽	0x1d4bd
\mathcal{i}	𝒾	0x1d4be
\mathcal{j}	𝒿	0x1d4bf
\mathcal{k}	𝓀	0x1d4c0
\mathcal{l}	𝓁	0x1d4c1
\mathcal{m}	𝓂	0x1d4c2
\mathcal{n}	𝓃	0x1d4c3
\mathcal{p}	𝓅	0x1d4c5
\mathcal{q}	𝓆	0x1d4c6
\mathcal{r}	𝓇	0x1d4c7
\mathcal{s}	𝓈	0x1d4c8
\mathcal{t}	𝓉	0x1d4c9
\mathcal{u}	𝓊	0x1d4ca
\mathcal{v}	𝓋	0x1d4cb
\mathcal{w}	𝓌	0x1d4cc
\mathcal{x}	𝓍	0x1d4cd
\mathcal{y}	𝓎	0x1d4ce
\mathcal{z}	𝓏	0x1d4cf
\mbfscrA	𝓐	0x1d4d0
\mbfscrB	𝓑	0x1d4d1
\mbfscrC	𝓒	0x1d4d2
\mbfscrD	𝓓	0x1d4d3
\mbfscrE	𝓔	0x1d4d4
\mbfscrF	𝓕	0x1d4d5
\mbfscrG	𝓖	0x1d4d6
\mbfscrH	𝓗	0x1d4d7
\mbfscrI	𝓘	0x1d4d8
\mbfscrJ	𝓙	0x1d4d9
\mbfscrK	𝓚	0x1d4da
\mbfscrL	𝓛	0x1d4db
\mbfscrM	𝓜	0x1d4dc
\mbfscrN	𝓝	0x1d4dd
\mbfscrO	𝓞	0x1d4de
\mbfscrP	𝓟	0x1d4df
\mbfscrQ	𝓠	0x1d4e0
\mbfscrR	𝓡	0x1d4e1
\mbfscrS	𝓢	0x1d4e2
\mbfscrT	𝓣	0x1d4e3
